sample,spec,split_rule,universe,forward_horizon,contrast,value,min_state_n
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,K200,1,A_MINUS_D,-0.00032221894312555073,16
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,K200,1,C_MINUS_B,-0.0017917075858475615,16
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,K200,1,LIQ_EFFECT_WHEN_FACTOR_HIGH_A_MINUS_B,0.0037620565641518174,16
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,K200,1,LIQ_EFFECT_WHEN_FACTOR_LOW_C_MINUS_D,-0.005875983093124929,16
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,K200,1,FACTOR_EFFECT_WHEN_LIQ_HIGH_A_MINUS_C,0.0055537641499993785,16
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,K200,1,FACTOR_EFFECT_WHEN_LIQ_LOW_B_MINUS_D,-0.004084275507277368,16
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,K200,1,INTERACTION_DID,0.009638039657276746,16
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,K200,5,A_MINUS_D,0.024000804185003576,16
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,K200,5,C_MINUS_B,0.007367353064275286,16
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,K200,5,LIQ_EFFECT_WHEN_FACTOR_HIGH_A_MINUS_B,0.02901053123605069,16
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,K200,5,LIQ_EFFECT_WHEN_FACTOR_LOW_C_MINUS_D,0.0023576260132281736,16
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,K200,5,FACTOR_EFFECT_WHEN_LIQ_HIGH_A_MINUS_C,0.021643178171775402,16
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,K200,5,FACTOR_EFFECT_WHEN_LIQ_LOW_B_MINUS_D,-0.005009727051047112,16
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,K200,5,INTERACTION_DID,0.026652905222822515,16
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,K200,20,A_MINUS_D,0.046085710159472035,16
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,K200,20,C_MINUS_B,0.006103965059277882,16
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,K200,20,LIQ_EFFECT_WHEN_FACTOR_HIGH_A_MINUS_B,0.06831366538654257,16
