Date,Universe,Factor,StockCode,StockName,FactorValue,ValueStatus,SourceRow
"2023-10-31","ALL","PER(12MF)","A000020","동화약품","","BLANK","14"
"2023-10-31","ALL","PER(12MF)","A000070","삼양홀딩스","","BLANK","15"
"2023-10-31","ALL","PER(12MF)","A000080","하이트진로","20.57","OK","16"
"2023-10-31","ALL","PER(12MF)","A000100","유한양행","32.08","OK","17"
"2023-10-31","ALL","PER(12MF)","A000120","CJ대한통운","7.21","OK","18"
"2023-10-31","ALL","PER(12MF)","A000150","두산","20.45","OK","19"
"2023-10-31","ALL","PER(12MF)","A000210","DL","4.66","OK","20"
"2023-10-31","ALL","PER(12MF)","A000240","한국앤컴퍼니","3.91","OK","21"
"2023-10-31","ALL","PER(12MF)","A000250","삼천당제약","","BLANK","22"
"2023-10-31","ALL","PER(12MF)","A000270","기아","3.38","OK","23"
"2023-10-31","ALL","PER(12MF)","A000370","한화손해보험","1.75","OK","24"
"2023-10-31","ALL","PER(12MF)","A000400","롯데손해보험","","BLANK","25"
"2023-10-31","ALL","PER(12MF)","A000430","대원강업","6.65","OK","26"
"2023-10-31","ALL","PER(12MF)","A000490","대동","5.56","OK","27"
"2023-10-31","ALL","PER(12MF)","A000640","동아쏘시오홀딩스","8.45","OK","28"
"2023-10-31","ALL","PER(12MF)","A000660","SK하이닉스","26.46","OK","29"
"2023-10-31","ALL","PER(12MF)","A000670","영풍","7.55","OK","30"
"2023-10-31","ALL","PER(12MF)","A000680","LS네트웍스","","BLANK","31"
"2023-10-31","ALL","PER(12MF)","A000720","현대건설","6.18","OK","32"
"2023-10-31","ALL","PER(12MF)","A000810","삼성화재","5.84","OK","33"
"2023-10-31","ALL","PER(12MF)","A000880","한화","2.15","OK","34"
"2023-10-31","ALL","PER(12MF)","A000990","DB하이텍","9.96","OK","35"
"2023-10-31","ALL","PER(12MF)","A001040","CJ","9.14","OK","36"
"2023-10-31","ALL","PER(12MF)","A001060","JW중외제약","10.39","OK","37"
"2023-10-31","ALL","PER(12MF)","A001120","LX인터내셔널","3.4","OK","38"
"2023-10-31","ALL","PER(12MF)","A001200","유진투자증권","","BLANK","39"
"2023-10-31","ALL","PER(12MF)","A001340","PKC","","BLANK","40"
"2023-10-31","ALL","PER(12MF)","A001390","KG케미칼","","BLANK","41"
"2023-10-31","ALL","PER(12MF)","A001430","세아베스틸지주","4.24","OK","42"
"2023-10-31","ALL","PER(12MF)","A001440","대한전선","","BLANK","43"
"2023-10-31","ALL","PER(12MF)","A001450","현대해상","2.42","OK","44"
"2023-10-31","ALL","PER(12MF)","A001470","삼부토건","","BLANK","45"
"2023-10-31","ALL","PER(12MF)","A001500","현대차증권","","BLANK","46"
"2023-10-31","ALL","PER(12MF)","A001510","SK증권","","BLANK","47"
"2023-10-31","ALL","PER(12MF)","A001530","DI동일","19.37","OK","48"
"2023-10-31","ALL","PER(12MF)","A001570","금양","","BLANK","49"
"2023-10-31","ALL","PER(12MF)","A001630","종근당홀딩스","","BLANK","50"
"2023-10-31","ALL","PER(12MF)","A001680","대상","7.19","OK","51"
"2023-10-31","ALL","PER(12MF)","A001720","신영증권","","BLANK","52"
"2023-10-31","ALL","PER(12MF)","A001740","SK네트웍스","14.73","OK","53"
"2023-10-31","ALL","PER(12MF)","A001780","알루코","","BLANK","54"
"2023-10-31","ALL","PER(12MF)","A001790","대한제당","","BLANK","55"
"2023-10-31","ALL","PER(12MF)","A001800","오리온홀딩스","","BLANK","56"
"2023-10-31","ALL","PER(12MF)","A001820","삼화콘덴서","10.17","OK","57"
"2023-10-31","ALL","PER(12MF)","A001940","KISCO홀딩스","","BLANK","58"
"2023-10-31","ALL","PER(12MF)","A002030","아세아","","BLANK","59"
"2023-10-31","ALL","PER(12MF)","A002150","도화엔지니어링","","BLANK","60"
"2023-10-31","ALL","PER(12MF)","A002240","고려제강","","BLANK","61"
"2023-10-31","ALL","PER(12MF)","A002310","아세아제지","3.55","OK","62"
"2023-10-31","ALL","PER(12MF)","A002320","한진","7.7","OK","63"
"2023-10-31","ALL","PER(12MF)","A002350","넥센타이어","4.23","OK","64"
"2023-10-31","ALL","PER(12MF)","A002380","KCC","14","OK","65"
"2023-10-31","ALL","PER(12MF)","A002710","TCC스틸","","BLANK","66"
"2023-10-31","ALL","PER(12MF)","A002790","아모레퍼시픽홀딩스","20.23","OK","67"
"2023-10-31","ALL","PER(12MF)","A002840","미원상사","","BLANK","68"
"2023-10-31","ALL","PER(12MF)","A002960","한국쉘석유","","BLANK","69"
"2023-10-31","ALL","PER(12MF)","A003000","부광약품","","BLANK","70"
"2023-10-31","ALL","PER(12MF)","A003030","세아제강지주","2.75","OK","71"
"2023-10-31","ALL","PER(12MF)","A003070","코오롱글로벌","","BLANK","72"
"2023-10-31","ALL","PER(12MF)","A003090","대웅","","BLANK","73"
"2023-10-31","ALL","PER(12MF)","A003120","일성아이에스","","BLANK","74"
"2023-10-31","ALL","PER(12MF)","A003220","대원제약","10.15","OK","75"
"2023-10-31","ALL","PER(12MF)","A003230","삼양식품","11.77","OK","76"
"2023-10-31","ALL","PER(12MF)","A003240","태광산업","","BLANK","77"
"2023-10-31","ALL","PER(12MF)","A003280","흥아해운","","BLANK","78"
"2023-10-31","ALL","PER(12MF)","A003300","한일홀딩스","","BLANK","79"
"2023-10-31","ALL","PER(12MF)","A003380","하림지주","","BLANK","80"
"2023-10-31","ALL","PER(12MF)","A003470","유안타증권","","BLANK","81"
"2023-10-31","ALL","PER(12MF)","A003490","대한항공","6.71","OK","82"
"2023-10-31","ALL","PER(12MF)","A003520","영진약품","","BLANK","83"
"2023-10-31","ALL","PER(12MF)","A003530","한화투자증권","","BLANK","84"
"2023-10-31","ALL","PER(12MF)","A003540","대신증권","6.47","OK","85"
"2023-10-31","ALL","PER(12MF)","A003550","LG","5.77","OK","86"
"2023-10-31","ALL","PER(12MF)","A003570","SNT다이내믹스","","BLANK","87"
"2023-10-31","ALL","PER(12MF)","A003620","KG모빌리티","","BLANK","88"
"2023-10-31","ALL","PER(12MF)","A003670","포스코퓨처엠","70.98","OK","89"
"2023-10-31","ALL","PER(12MF)","A003690","코리안리","3.35","OK","90"
"2023-10-31","ALL","PER(12MF)","A003800","에이스침대","","BLANK","91"
"2023-10-31","ALL","PER(12MF)","A003850","보령","11.83","OK","92"
"2023-10-31","ALL","PER(12MF)","A003920","남양유업","","BLANK","93"
"2023-10-31","ALL","PER(12MF)","A003960","사조대림","","BLANK","94"
"2023-10-31","ALL","PER(12MF)","A004000","롯데정밀화학","5.2","OK","95"
"2023-10-31","ALL","PER(12MF)","A004020","현대제철","5.43","OK","96"
"2023-10-31","ALL","PER(12MF)","A004170","신세계","4.51","OK","97"
"2023-10-31","ALL","PER(12MF)","A004370","농심","13.57","OK","98"
"2023-10-31","ALL","PER(12MF)","A004430","송원산업","6.35","OK","99"
"2023-10-31","ALL","PER(12MF)","A004490","세방전지","","BLANK","100"
"2023-10-31","ALL","PER(12MF)","A004690","삼천리","","BLANK","101"
"2023-10-31","ALL","PER(12MF)","A004700","조광피혁","","BLANK","102"
"2023-10-31","ALL","PER(12MF)","A004800","효성","13.26","OK","103"
