Date,Universe,Factor,StockCode,StockName,FactorValue,ValueStatus,SourceRow
"2020-03-03","ALL","OP(12MF_1M_CHG)","A000050","경방","","BLANK","14"
"2020-03-03","ALL","OP(12MF_1M_CHG)","A000070","삼양홀딩스","","BLANK","15"
"2020-03-03","ALL","OP(12MF_1M_CHG)","A000080","하이트진로","5.24079320113314","OK","16"
"2020-03-03","ALL","OP(12MF_1M_CHG)","A000100","유한양행","15.9464394400487","OK","17"
"2020-03-03","ALL","OP(12MF_1M_CHG)","A000120","CJ대한통운","3.01990023064957","OK","18"
"2020-03-03","ALL","OP(12MF_1M_CHG)","A000140","하이트진로홀딩스","","BLANK","19"
"2020-03-03","ALL","OP(12MF_1M_CHG)","A000150","두산","-2.03183380660589","OK","20"
"2020-03-03","ALL","OP(12MF_1M_CHG)","A000210","DL",".137134469038521","OK","21"
"2020-03-03","ALL","OP(12MF_1M_CHG)","A000240","한국앤컴퍼니","3.02052300562727","OK","22"
"2020-03-03","ALL","OP(12MF_1M_CHG)","A000250","삼천당제약","","BLANK","23"
"2020-03-03","ALL","OP(12MF_1M_CHG)","A000270","기아","1.01701985649925","OK","24"
"2020-03-03","ALL","OP(12MF_1M_CHG)","A000370","한화손해보험","","BLANK","25"
"2020-03-03","ALL","OP(12MF_1M_CHG)","A000400","롯데손해보험","","BLANK","26"
"2020-03-03","ALL","OP(12MF_1M_CHG)","A000480","CR홀딩스","","BLANK","27"
"2020-03-03","ALL","OP(12MF_1M_CHG)","A000640","동아쏘시오홀딩스","","BLANK","28"
"2020-03-03","ALL","OP(12MF_1M_CHG)","A000660","SK하이닉스","6.70145341524181","OK","29"
"2020-03-03","ALL","OP(12MF_1M_CHG)","A000670","영풍","","BLANK","30"
"2020-03-03","ALL","OP(12MF_1M_CHG)","A000720","현대건설","-.35157669380419","OK","31"
"2020-03-03","ALL","OP(12MF_1M_CHG)","A000810","삼성화재","-5.51350707067267","OK","32"
"2020-03-03","ALL","OP(12MF_1M_CHG)","A000880","한화","-11.531385594446","OK","33"
"2020-03-03","ALL","OP(12MF_1M_CHG)","A000990","DB하이텍","7.10662499359533","OK","34"
"2020-03-03","ALL","OP(12MF_1M_CHG)","A001040","CJ","-1.32206664599385","OK","35"
"2020-03-03","ALL","OP(12MF_1M_CHG)","A001060","JW중외제약","","BLANK","36"
"2020-03-03","ALL","OP(12MF_1M_CHG)","A001120","LX인터내셔널","-4.86983329527289","OK","37"
"2020-03-03","ALL","OP(12MF_1M_CHG)","A001230","동국홀딩스","-.890254888453186","OK","38"
"2020-03-03","ALL","OP(12MF_1M_CHG)","A001430","세아베스틸지주",".521476602168239","OK","39"
"2020-03-03","ALL","OP(12MF_1M_CHG)","A001440","대한전선","","BLANK","40"
"2020-03-03","ALL","OP(12MF_1M_CHG)","A001450","현대해상","-5.20777929375852","OK","41"
"2020-03-03","ALL","OP(12MF_1M_CHG)","A001510","SK증권","","BLANK","42"
"2020-03-03","ALL","OP(12MF_1M_CHG)","A001520","동양","","BLANK","43"
"2020-03-03","ALL","OP(12MF_1M_CHG)","A001630","종근당홀딩스","","BLANK","44"
"2020-03-03","ALL","OP(12MF_1M_CHG)","A001680","대상","-1.43062495721816","OK","45"
"2020-03-03","ALL","OP(12MF_1M_CHG)","A001720","신영증권","","BLANK","46"
"2020-03-03","ALL","OP(12MF_1M_CHG)","A001740","SK네트웍스","-16.8743407172996","OK","47"
"2020-03-03","ALL","OP(12MF_1M_CHG)","A001800","오리온홀딩스","","BLANK","48"
"2020-03-03","ALL","OP(12MF_1M_CHG)","A001820","삼화콘덴서","-2.96572544841059","OK","49"
"2020-03-03","ALL","OP(12MF_1M_CHG)","A002210","동성제약","","BLANK","50"
"2020-03-03","ALL","OP(12MF_1M_CHG)","A002240","고려제강","","BLANK","51"
"2020-03-03","ALL","OP(12MF_1M_CHG)","A002310","아세아제지","","BLANK","52"
"2020-03-03","ALL","OP(12MF_1M_CHG)","A002320","한진","1.07968660424232","OK","53"
"2020-03-03","ALL","OP(12MF_1M_CHG)","A002350","넥센타이어","-1.36974234750056","OK","54"
"2020-03-03","ALL","OP(12MF_1M_CHG)","A002380","KCC","11.5518601288287","OK","55"
"2020-03-03","ALL","OP(12MF_1M_CHG)","A002390","한독","12.1162638798171","OK","56"
"2020-03-03","ALL","OP(12MF_1M_CHG)","A002780","진흥기업","","BLANK","57"
"2020-03-03","ALL","OP(12MF_1M_CHG)","A002790","아모레퍼시픽홀딩스","-6.36789375244669","OK","58"
"2020-03-03","ALL","OP(12MF_1M_CHG)","A002810","삼영무역","","BLANK","59"
"2020-03-03","ALL","OP(12MF_1M_CHG)","A002840","미원상사","","BLANK","60"
"2020-03-03","ALL","OP(12MF_1M_CHG)","A002960","한국쉘석유","","BLANK","61"
"2020-03-03","ALL","OP(12MF_1M_CHG)","A002990","금호건설","14.9987169617655","OK","62"
"2020-03-03","ALL","OP(12MF_1M_CHG)","A003000","부광약품","","BLANK","63"
"2020-03-03","ALL","OP(12MF_1M_CHG)","A003060","에이프로젠바이오로직스","","BLANK","64"
"2020-03-03","ALL","OP(12MF_1M_CHG)","A003090","대웅","","BLANK","65"
"2020-03-03","ALL","OP(12MF_1M_CHG)","A003220","대원제약",".95213587236232","OK","66"
"2020-03-03","ALL","OP(12MF_1M_CHG)","A003230","삼양식품",".271795943968226","OK","67"
"2020-03-03","ALL","OP(12MF_1M_CHG)","A003240","태광산업","","BLANK","68"
"2020-03-03","ALL","OP(12MF_1M_CHG)","A003380","하림지주",".710227272727273","OK","69"
"2020-03-03","ALL","OP(12MF_1M_CHG)","A003470","유안타증권","","BLANK","70"
