Date,Universe,Factor,StockCode,StockName,FactorValue,ValueStatus,SourceRow
"2023-12-04","ALL","PBR(12MF)","A000020","동화약품","","BLANK","14"
"2023-12-04","ALL","PBR(12MF)","A000070","삼양홀딩스","","BLANK","15"
"2023-12-04","ALL","PBR(12MF)","A000080","하이트진로","1.32879285926083","OK","16"
"2023-12-04","ALL","PBR(12MF)","A000100","유한양행","2.19876865368005","OK","17"
"2023-12-04","ALL","PBR(12MF)","A000120","CJ대한통운",".585385593670714","OK","18"
"2023-12-04","ALL","PBR(12MF)","A000150","두산",".131185405521865","OK","19"
"2023-12-04","ALL","PBR(12MF)","A000210","DL",".211346367977697","OK","20"
"2023-12-04","ALL","PBR(12MF)","A000240","한국앤컴퍼니",".375103946929513","OK","21"
"2023-12-04","ALL","PBR(12MF)","A000250","삼천당제약","","BLANK","22"
"2023-12-04","ALL","PBR(12MF)","A000270","기아",".648039238142098","OK","23"
"2023-12-04","ALL","PBR(12MF)","A000370","한화손해보험",".128233378263621","OK","24"
"2023-12-04","ALL","PBR(12MF)","A000400","롯데손해보험","","BLANK","25"
"2023-12-04","ALL","PBR(12MF)","A000430","대원강업",".475229547967453","OK","26"
"2023-12-04","ALL","PBR(12MF)","A000480","CR홀딩스","","BLANK","27"
"2023-12-04","ALL","PBR(12MF)","A000490","대동",".604469195476151","OK","28"
"2023-12-04","ALL","PBR(12MF)","A000640","동아쏘시오홀딩스",".537606991409706","OK","29"
"2023-12-04","ALL","PBR(12MF)","A000660","SK하이닉스","1.51206170526333","OK","30"
"2023-12-04","ALL","PBR(12MF)","A000670","영풍","","BLANK","31"
"2023-12-04","ALL","PBR(12MF)","A000680","LS네트웍스","","BLANK","32"
"2023-12-04","ALL","PBR(12MF)","A000720","현대건설",".363005333897694","OK","33"
"2023-12-04","ALL","PBR(12MF)","A000810","삼성화재",".729980942867452","OK","34"
"2023-12-04","ALL","PBR(12MF)","A000880","한화","5.41296406750688E-02","OK","35"
"2023-12-04","ALL","PBR(12MF)","A000990","DB하이텍","1.31762083202432","OK","36"
"2023-12-04","ALL","PBR(12MF)","A001040","CJ",".151953244223323","OK","37"
"2023-12-04","ALL","PBR(12MF)","A001060","JW중외제약","2.05767615445359","OK","38"
"2023-12-04","ALL","PBR(12MF)","A001120","LX인터내셔널",".334615323566382","OK","39"
"2023-12-04","ALL","PBR(12MF)","A001200","유진투자증권","","BLANK","40"
"2023-12-04","ALL","PBR(12MF)","A001230","동국홀딩스","","BLANK","41"
"2023-12-04","ALL","PBR(12MF)","A001340","PKC","","BLANK","42"
"2023-12-04","ALL","PBR(12MF)","A001390","KG케미칼","","BLANK","43"
"2023-12-04","ALL","PBR(12MF)","A001430","세아베스틸지주",".414017685256139","OK","44"
"2023-12-04","ALL","PBR(12MF)","A001440","대한전선","","BLANK","45"
"2023-12-04","ALL","PBR(12MF)","A001450","현대해상",".347022295809368","OK","46"
"2023-12-04","ALL","PBR(12MF)","A001460","BYC","","BLANK","47"
"2023-12-04","ALL","PBR(12MF)","A001470","삼부토건","","BLANK","48"
"2023-12-04","ALL","PBR(12MF)","A001500","현대차증권","","BLANK","49"
"2023-12-04","ALL","PBR(12MF)","A001510","SK증권","","BLANK","50"
"2023-12-04","ALL","PBR(12MF)","A001530","DI동일","1.27087201318155","OK","51"
"2023-12-04","ALL","PBR(12MF)","A001570","금양","","BLANK","52"
"2023-12-04","ALL","PBR(12MF)","A001630","종근당홀딩스",".346732671098552","OK","53"
"2023-12-04","ALL","PBR(12MF)","A001680","대상",".490672663547633","OK","54"
"2023-12-04","ALL","PBR(12MF)","A001720","신영증권","","BLANK","55"
"2023-12-04","ALL","PBR(12MF)","A001740","SK네트웍스",".547071685965061","OK","56"
"2023-12-04","ALL","PBR(12MF)","A001780","알루코","","BLANK","57"
"2023-12-04","ALL","PBR(12MF)","A001790","대한제당","","BLANK","58"
"2023-12-04","ALL","PBR(12MF)","A001800","오리온홀딩스","","BLANK","59"
"2023-12-04","ALL","PBR(12MF)","A001820","삼화콘덴서","1.44816568496233","OK","60"
"2023-12-04","ALL","PBR(12MF)","A001940","KISCO홀딩스","","BLANK","61"
"2023-12-04","ALL","PBR(12MF)","A002030","아세아","","BLANK","62"
"2023-12-04","ALL","PBR(12MF)","A002150","도화엔지니어링","","BLANK","63"
"2023-12-04","ALL","PBR(12MF)","A002240","고려제강","","BLANK","64"
"2023-12-04","ALL","PBR(12MF)","A002310","아세아제지",".403231173698615","OK","65"
"2023-12-04","ALL","PBR(12MF)","A002320","한진",".236087348153067","OK","66"
"2023-12-04","ALL","PBR(12MF)","A002350","넥센타이어",".45588871264676","OK","67"
"2023-12-04","ALL","PBR(12MF)","A002380","KCC",".328487192795957","OK","68"
"2023-12-04","ALL","PBR(12MF)","A002710","TCC스틸","","BLANK","69"
"2023-12-04","ALL","PBR(12MF)","A002790","아모레퍼시픽홀딩스",".336522704765326","OK","70"
"2023-12-04","ALL","PBR(12MF)","A002840","미원상사","","BLANK","71"
"2023-12-04","ALL","PBR(12MF)","A002960","한국쉘석유","","BLANK","72"
"2023-12-04","ALL","PBR(12MF)","A003000","부광약품","","BLANK","73"
"2023-12-04","ALL","PBR(12MF)","A003030","세아제강지주",".308364082399633","OK","74"
"2023-12-04","ALL","PBR(12MF)","A003090","대웅",".64216461063078","OK","75"
"2023-12-04","ALL","PBR(12MF)","A003120","일성아이에스","","BLANK","76"
"2023-12-04","ALL","PBR(12MF)","A003220","대원제약","1.20088256051518","OK","77"
"2023-12-04","ALL","PBR(12MF)","A003230","삼양식품","2.46825857524361","OK","78"
"2023-12-04","ALL","PBR(12MF)","A003240","태광산업","","BLANK","79"
"2023-12-04","ALL","PBR(12MF)","A003280","흥아해운","","BLANK","80"
"2023-12-04","ALL","PBR(12MF)","A003300","한일홀딩스","","BLANK","81"
"2023-12-04","ALL","PBR(12MF)","A003380","하림지주",".143265162694572","OK","82"
"2023-12-04","ALL","PBR(12MF)","A003470","유안타증권","","BLANK","83"
"2023-12-04","ALL","PBR(12MF)","A003490","대한항공",".775653533667903","OK","84"
"2023-12-04","ALL","PBR(12MF)","A003520","영진약품","","BLANK","85"
"2023-12-04","ALL","PBR(12MF)","A003530","한화투자증권","","BLANK","86"
"2023-12-04","ALL","PBR(12MF)","A003540","대신증권",".255207420004699","OK","87"
"2023-12-04","ALL","PBR(12MF)","A003550","LG",".453233028682208","OK","88"
"2023-12-04","ALL","PBR(12MF)","A003570","SNT다이내믹스",".743855950536658","OK","89"
"2023-12-04","ALL","PBR(12MF)","A003620","KG모빌리티","","BLANK","90"
"2023-12-04","ALL","PBR(12MF)","A003670","포스코퓨처엠","8.91186903288642","OK","91"
"2023-12-04","ALL","PBR(12MF)","A003690","코리안리",".319764344705907","OK","92"
"2023-12-04","ALL","PBR(12MF)","A003800","에이스침대","","BLANK","93"
"2023-12-04","ALL","PBR(12MF)","A003850","보령","1.12269163279562","OK","94"
"2023-12-04","ALL","PBR(12MF)","A003920","남양유업","","BLANK","95"
"2023-12-04","ALL","PBR(12MF)","A003960","사조대림","","BLANK","96"
